Needle_Passing_B001,N,N,1,F
Needle_Passing_B002,N,N,1,F
Needle_Passing_B003,N,I,0,NF
Needle_Passing_B004,N,I,0,NF
Needle_Passing_C001,I,I,1,F
Needle_Passing_C002,I,N,1,NF
Needle_Passing_C003,I,N,1,F
Needle_Passing_C004,I,I,1,F
Needle_Passing_C005,I,I,1,F
Needle_Passing_D001,E,N,1,F
Needle_Passing_D002,E,I,1,NF
Needle_Passing_D003,E,I,1,NF
Needle_Passing_D004,E,I,1,NF*
Needle_Passing_D005,E,I,0,
Needle_Passing_E001,E,I,0,
Needle_Passing_E003,E,I,0,
Needle_Passing_E004,E,I,1,NF
Needle_Passing_E005,E,I,1,NF
Needle_Passing_F001,I,E,0,
Needle_Passing_F003,I,I,1,NF
Needle_Passing_F004,I,E,0,
Needle_Passing_H002,N,I,1,NF
Needle_Passing_H004,N,E,1,NF
Needle_Passing_H005,N,E,1,NF
Needle_Passing_I002,N,I,1,
Needle_Passing_I003,N,I,0,
Needle_Passing_I004,N,I,1,
Needle_Passing_I005,N,E,0,
